Year,Event,Gender,Avg_Results_seconds,Avg_Results
1912,100m Backstroke,Men,83.72,01:23.72
1912,100m Freestyle,Men,65.16,01:05.16
1912,100m Freestyle,Women,85.84,01:25.84
1912,1500m Freestyle,Men,1358.1333333333334,22:38.13
1912,200m Breaststroke,Men,185.9,03:05.90
1912,400m Breaststroke,Men,394.65,06:34.65
1912,400m Freestyle,Men,332.24,05:32.24
1920,100m Backstroke,Men,77.6,01:17.60
1920,100m Freestyle,Men,62.7,01:02.70
1920,100m Freestyle,Women,77.65,01:17.65
1920,1500m Freestyle,Men,1343.2,22:23.20
1920,200m Breaststroke,Men,188.6,03:08.60
1920,400m Breaststroke,Men,404.0,06:44.00
1920,400m Freestyle,Men,328.4666666666667,05:28.47
1924,100m Backstroke,Men,77.2,01:17.20
1924,100m Backstroke,Women,88.16,01:28.16
1924,100m Freestyle,Men,61.44,01:01.44
1924,100m Freestyle,Women,75.12,01:15.12
1924,1500m Freestyle,Men,1280.48,21:20.48
1924,200m Breaststroke,Men,180.92,03:00.92
1924,200m Breaststroke,Women,217.85714285714286,03:37.86
1924,400m Freestyle,Men,314.88,05:14.88
1924,400m Freestyle,Women,369.05,06:09.05
1928,100m Backstroke,Men,72.16666666666667,01:12.17
1928,100m Backstroke,Women,83.68571428571428,01:23.69
1928,100m Freestyle,Men,60.457142857142856,01:00.46
1928,100m Freestyle,Women,73.26666666666667,01:13.27
1928,1500m Freestyle,Men,1246.3333333333333,20:46.33
1928,200m Breaststroke,Men,174.4,02:54.40
1928,200m Breaststroke,Women,197.76666666666665,03:17.77
1928,400m Freestyle,Men,309.3666666666667,05:09.37
1928,400m Freestyle,Women,361.09999999999997,06:01.10
1932,100m Backstroke,Men,70.56666666666666,01:10.57
1932,100m Backstroke,Women,82.06666666666666,01:22.07
1932,100m Freestyle,Men,58.916666666666664,00:58.92
1932,100m Freestyle,Women,68.8,01:08.80
1932,1500m Freestyle,Men,1180.5833333333333,19:40.58
