Event,Gender,Year,Predicted_Gold
100m Freestyle,Men,2020,45.17700328248702
100m Freestyle,Men,2024,44.53337323807688
100m Freestyle,Men,2028,43.88974319366679
100m Freestyle,Men,2032,43.246113149256644
100m Freestyle,Men,2036,42.602483104846556
100m Freestyle,Men,2040,41.95885306043641
100m Freestyle,Men,2044,41.31522301602632
100m Freestyle,Men,2048,40.67159297161618
100m Freestyle,Men,2052,40.02796292720603
100m Freestyle,Men,2056,39.384332882795945
100m Freestyle,Men,2060,38.7407028383858
100m Freestyle,Women,2020,49.2265259675155
100m Freestyle,Women,2024,48.31031682374169
100m Freestyle,Women,2028,47.394107679967874
100m Freestyle,Women,2032,46.47789853619406
100m Freestyle,Women,2036,45.56168939242025
100m Freestyle,Women,2040,44.645480248646436
100m Freestyle,Women,2044,43.72927110487262
100m Freestyle,Women,2048,42.81306196109881
100m Freestyle,Women,2052,41.896852817325
100m Freestyle,Women,2056,40.980643673551185
100m Freestyle,Women,2060,40.06443452977737
100m Backstroke,Men,2020,48.89936195182213
100m Backstroke,Men,2024,47.96397992588021
100m Backstroke,Men,2028,47.02859789993829
100m Backstroke,Men,2032,46.093215873996314
100m Backstroke,Men,2036,45.157833848054395
100m Backstroke,Men,2040,44.222451822112475
100m Backstroke,Men,2044,43.2870697961705
100m Backstroke,Men,2048,42.35168777022858
100m Backstroke,Men,2052,41.41630574428666
100m Backstroke,Men,2056,40.480923718344684
100m Backstroke,Men,2060,39.545541692402765
100m Backstroke,Women,2020,54.78250913011709
100m Backstroke,Women,2024,53.70922472261827
100m Backstroke,Women,2028,52.63594031511934
100m Backstroke,Women,2032,51.562655907620524
100m Backstroke,Women,2036,50.48937150012159
100m Backstroke,Women,2040,49.416087092622774
100m Backstroke,Women,2044,48.34280268512384
100m Backstroke,Women,2048,47.269518277625025
100m Backstroke,Women,2052,46.19623387012621
100m Backstroke,Women,2056,45.122949462627275
100m Backstroke,Women,2060,44.04966505512846
100m Breaststroke,Men,2020,57.54786073223255
100m Breaststroke,Men,2024,56.9361593682699
100m Breaststroke,Men,2028,56.324458004307246
100m Breaststroke,Men,2032,55.71275664034454
100m Breaststroke,Men,2036,55.101055276381885
100m Breaststroke,Men,2040,54.48935391241923
100m Breaststroke,Men,2044,53.877652548456524
100m Breaststroke,Men,2048,53.26595118449387
100m Breaststroke,Men,2052,52.65424982053122
100m Breaststroke,Men,2056,52.04254845656851
100m Breaststroke,Men,2060,51.43084709260586
100m Breaststroke,Women,2020,63.57342160278745
100m Breaststroke,Women,2024,62.82128919860628
100m Breaststroke,Women,2028,62.069156794425055
100m Breaststroke,Women,2032,61.31702439024389
100m Breaststroke,Women,2036,60.56489198606272
100m Breaststroke,Women,2040,59.81275958188155
100m Breaststroke,Women,2044,59.060627177700326
100m Breaststroke,Women,2048,58.30849477351916
100m Breaststroke,Women,2052,57.55636236933799
100m Breaststroke,Women,2056,56.804229965156765
100m Breaststroke,Women,2060,56.0520975609756
100m Butterfly,Men,2020,49.73685714285713
100m Butterfly,Men,2024,49.3008791208791
100m Butterfly,Men,2028,48.86490109890107
100m Butterfly,Men,2032,48.42892307692307
100m Butterfly,Men,2036,47.99294505494504
100m Butterfly,Men,2040,47.55696703296701
100m Butterfly,Men,2044,47.12098901098901
100m Butterfly,Men,2048,46.685010989010976
100m Butterfly,Men,2052,46.249032967032946
100m Butterfly,Men,2056,45.813054945054944
100m Butterfly,Men,2060,45.37707692307691
100m Butterfly,Women,2020,53.798419666374
100m Butterfly,Women,2024,52.924899034240525
100m Butterfly,Women,2028,52.051378402107105
100m Butterfly,Women,2032,51.17785776997363
100m Butterfly,Women,2036,50.30433713784021
100m Butterfly,Women,2040,49.43081650570673
100m Butterfly,Women,2044,48.55729587357331
100m Butterfly,Women,2048,47.68377524143983
100m Butterfly,Women,2052,46.810254609306355
100m Butterfly,Women,2056,45.936733977172935
100m Butterfly,Women,2060,45.06321334503946
200m Individual medley,Men,2020,112.40460456942014
200m Individual medley,Men,2024,111.16382249560638
200m Individual medley,Men,2028,109.92304042179273
200m Individual medley,Men,2032,108.68225834797897
200m Individual medley,Men,2036,107.44147627416532
200m Individual medley,Men,2040,106.20069420035156
200m Individual medley,Men,2044,104.95991212653792
200m Individual medley,Men,2048,103.71913005272415
200m Individual medley,Men,2052,102.47834797891039
200m Individual medley,Men,2056,101.23756590509674
200m Individual medley,Men,2060,99.99678383128298
200m Individual medley,Women,2020,125.28486818980673
200m Individual medley,Women,2024,124.02627416520215
200m Individual medley,Women,2028,122.76768014059758
200m Individual medley,Women,2032,121.509086115993
200m Individual medley,Women,2036,120.25049209138842
200m Individual medley,Women,2040,118.99189806678385
200m Individual medley,Women,2044,117.73330404217927
200m Individual medley,Women,2048,116.4747100175747
200m Individual medley,Women,2052,115.21611599297012
200m Individual medley,Women,2056,113.95752196836554
200m Individual medley,Women,2060,112.69892794376096
